team,playerName,0/1 Step,3 Step,5 Step,7 Step
ARI,A.J. Green,0.7833333333333334,1.6382352941176477,2.488,
ARI,Antoine Wesley,1.2125,1.5142857142857142,1.5142857142857145,
ARI,Darrel Williams,,1.451851851851852,2.416666666666667,1.3250000000000002
ARI,James Conner,,2.5142857142857147,,1.1333333333333335
ARI,Marquise Brown,1.273469387755102,1.9024999999999996,1.7466666666666666,1.66
ARI,Rondale Moore,1.3434782608695652,1.3833333333333335,2.8642857142857148,
ARI,Zach Ertz,2.1739130434782608,1.4315789473684213,1.43,1.875
ATL,Anthony Firkser,1.7687499999999998,1.4565217391304348,,
ATL,Bryan Edwards,2.711764705882353,2.063636363636364,1.8333333333333333,0.5875
ATL,Cordarrelle Patterson,1.2315789473684209,2.9047619047619047,2.4066666666666667,1.25
ATL,Damien Williams,,,2.2857142857142856,
ATL,Damiere Byrd,1.34,1.6071428571428572,3.071428571428572,0.9666666666666668
ATL,KhaDarel Hodge,1.2,0.8416666666666667,,1.7333333333333334
ATL,Kyle Pitts,2.1416666666666666,1.642105263157895,1.0,1.8
ATL,Olamide Zaccheaus,1.6900000000000002,2.105555555555556,0.9833333333333334,2.033333333333333
BAL,Devin Duvernay,1.3142857142857145,1.5944444444444446,,
BAL,Mark Andrews,2.169387755102041,1.5015151515151517,3.128571428571428,
BAL,Mike Davis,0.9833333333333334,1.5208333333333333,1.7399999999999998,1.4
BAL,Rashod Bateman,1.5749999999999995,1.215,,
BUF,Dawson Knox,2.9375,2.8448275862068964,2.5272727272727273,4.375000000000001
BUF,Devin Singletary,1.4333333333333331,1.3444444444444443,1.39,2.85
BUF,Gabriel Davis,2.0125,3.2,2.9625000000000004,4.4
BUF,Isaiah McKenzie,1.5100000000000002,,2.733333333333333,3.3500000000000005
BUF,Jamison Crowder,1.125,1.676,1.6,1.2
BUF,Reggie Gilliam,,,,1.1333333333333335
BUF,Stefon Diggs,1.3340425531914892,2.0,2.1043478260869564,1.2333333333333336
BUF,Tavon Austin,0.99,1.4583333333333333,,0.0
BUF,Tommy Sweeney,,,,1.1
BUF,Zack Moss,1.7375,1.8833333333333333,,1.1333333333333335
CAR,Christian McCaffrey,,1.8956521739130432,1.6333333333333335,
CAR,Chuba Hubbard,0.8400000000000001,1.0588235294117647,1.1750000000000005,
CAR,DJ Moore,1.2558823529411764,1.4508196721311477,1.614285714285714,1.3250000000000002
CAR,Ian Thomas,,,1.5100000000000002,
CAR,Rashard Higgins,,0.4533333333333333,1.4714285714285715,1.0750000000000002
CAR,Terrace Marshall Jr.,,0.78125,,
CAR,Tommy Tremble,1.6750000000000005,,1.05,
CHI,Byron Pringle,3.4125,2.0185185185185186,2.771428571428572,
CHI,Cole Kmet,1.2652173913043478,1.15,1.9214285714285717,1.9
CHI,Dante Pettis,2.55,,,
CHI,Darnell Mooney,1.364285714285714,1.5217391304347827,1.3,1.1190476190476193
CHI,David Montgomery,1.475,1.395652173913044,1.61,2.6
CHI,James O'Shaughnessy,,1.7705882352941176,,
CHI,Ryan Griffin,,2.2923076923076917,1.21,1.7
CIN,Chris Evans,,2.171428571428572,,
CIN,Hayden Hurst,,2.4133333333333336,2.3285714285714287,
CIN,Ja'Marr Chase,1.985714285714286,3.434177215189873,2.7785714285714294,
CIN,Joe Mixon,2.2583333333333333,2.5173913043478264,,1.3
CIN,Samaje Perine,,2.357894736842105,,
CIN,Tee Higgins,2.22,2.2614285714285716,2.640909090909091,
CIN,Tyler Boyd,1.725,2.5213114754098367,2.8000000000000003,
CLE,Amari Cooper,1.5705882352941176,2.3978260869565218,1.868,2.1
CLE,Anthony Schwartz,,,0.21428571428571427,2.6666666666666665
CLE,David Njoku,,2.2086956521739127,1.4333333333333331,3.8333333333333335
CLE,Donovan Peoples-Jones,2.3428571428571425,1.3105263157894742,2.7000000000000006,2.1500000000000004
CLE,Harrison Bryant,,,,1.35
CLE,Kareem Hunt,,,1.3,1.3666666666666665
CLE,Nick Chubb,,,1.6333333333333335,3.15
DAL,CeeDee Lamb,1.805263157894737,1.5575757575757576,2.453125,1.5250000000000004
DAL,Dalton Schultz,1.8454545454545452,2.283783783783784,2.0708333333333333,3.1
