team,playerName,Combination,Cover 0,Cover 1,Cover 2,Cover 3,Cover 4,Cover 6,Man Cover 2,No Video,Other,Prevent,Screen,Tampa 2
ARI,Colt McCoy,0.6,0.26,0.17666666666666667,0.255,0.2890322580645162,0.36000000000000004,0.24,,,,,0.55,0.22
ARI,Kyler Murray,0.47,1.0618181818181818,0.452235294117647,0.2553846153846153,0.5457142857142856,0.4653968253968254,0.1851851851851852,0.3741176470588236,0.0,-0.2533333333333333,0.08,0.3099999999999999,0.324
ATL,Feleipe Franks,,,,,-1.0,,,,,,,,
ATL,Marcus Mariota,,,0.0,,,,,,,,,,
BAL,Lamar Jackson,-0.5,0.0780952380952381,0.1771428571428572,0.2014814814814816,0.431578947368421,0.4048780487804878,0.1,0.52,0.6000000000000001,0.0,0.424,0.24235294117647066,0.4171428571428572
BAL,Tyler Huntley,,0.8750000000000001,0.3187878787878788,0.12999999999999998,0.105,0.17132075471698113,-0.16,0.22545454545454546,0.30000000000000004,,0.12,0.2457142857142857,0.4
BUF,Case Keenum,,0.0,0.32666666666666666,0.384,0.392,0.04,0.24,0.24,0.36,,-1.0,1.64,
BUF,Josh Allen,0.56,1.1833333333333331,0.4200000000000001,0.2921052631578947,0.41463414634146334,0.4111627906976745,0.7292307692307692,0.6457142857142858,0.21500000000000008,0.0,0.4,0.3109090909090908,0.12
CAR,Baker Mayfield,0.0,0.0,0.223,0.22000000000000006,0.3975257731958762,0.5399999999999999,-0.036363636363636376,0.125,0.0,,1.7400000000000002,0.665263157894737,0.14857142857142858
CAR,Sam Darnold,1.9466666666666663,0.9266666666666666,0.20888888888888876,0.2233962264150944,0.20215053763440846,0.3042857142857142,0.3700000000000001,0.1545454545454546,0.2,,-0.3333333333333333,0.17217391304347826,0.28
CHI,Justin Fields,0.24,-0.011428571428571423,0.323921568627451,0.21629629629629635,0.2302564102564104,0.2944827586206896,0.07666666666666666,0.015384615384615387,,,0.6109090909090908,0.8240000000000001,
CHI,Trevor Siemian,0.36,0.17600000000000002,0.4921739130434781,0.6766666666666667,0.4058333333333333,0.2290909090909091,0.27,0.46,,,0.24,0.11,1.1
CIN,Brandon Allen,,,0.0,1.04,0.04,0.11200000000000003,0.12,0.2,0.0,,0.42,0.16,0.0
CIN,Joe Burrow,0.4533333333333333,0.2933333333333333,0.6797122302158275,0.4568627450980392,0.5369142857142856,0.2907563025210084,0.13655172413793104,0.14074074074074078,0.2857142857142857,0.64,0.62,0.3425,0.6699999999999999
CLE,Jacoby Brissett,,0.21,0.2524444444444444,0.13696969696969702,0.207536231884058,0.2875,0.36,0.15636363636363634,,,1.08,0.152,0.0
DAL,Cooper Rush,,,0.41230769230769226,1.536,0.2375,0.225,0.36000000000000004,,,,,0.28,0.4
DAL,Dak Prescott,0.0,0.12705882352941178,0.6542635658914729,0.3589189189189188,0.30943820224719104,0.2969411764705881,0.21750000000000008,0.5493333333333333,0.08888888888888889,0.4,0.8600000000000001,0.2447058823529412,0.3800000000000001
DEN,Brett Rypien,,,,,,,0.0,,,,,,
DEN,Josh Johnson,,0.3466666666666667,0.2761904761904762,0.0,1.0184615384615383,0.2714285714285714,0.3333333333333333,0.3,0.16,,0.2933333333333333,-0.1,0.3066666666666667
DEN,Russell Wilson,,3.2,0.5660000000000001,0.36000000000000004,0.5036521739130434,0.2646575342465753,0.6711111111111112,0.9,2.773333333333333,0.62,0.42,0.34608695652173915,0.43
DET,David Blough,,,,,,0.0,,,,,,,
DET,Jared Goff,-1.0,0.16999999999999998,0.2860215053763441,0.24235294117647066,0.3671052631578948,0.3555555555555556,0.28800000000000003,0.10461538461538462,0.24,0.0,0.35000000000000003,0.13440000000000002,0.26857142857142857
DET,Tim Boyle,,0.0,0.13,0.6000000000000001,0.31,0.6266666666666667,-0.04,0.16,,,0.18,0.2266666666666667,0.16
GB,Aaron Rodgers,1.4933333333333334,1.3309090909090908,0.6871794871794872,0.2840000000000001,0.4244660194174757,0.3859154929577464,0.4323809523809524,0.4281818181818183,0.3466666666666667,4.68,0.0,0.5084210526315787,0.25666666666666665
GB,Jordan Love,,0.0,0.3233333333333333,-0.13333333333333333,0.2155555555555556,0.62,,0.6133333333333334,,,,0.13599999999999998,0.0
HOU,Davis Mills,1.08,0.33,0.2776470588235294,0.2145454545454545,0.3957281553398059,0.17741935483870966,0.3577777777777778,0.3120000000000001,,,0.3333333333333333,0.19586206896551725,0.2514285714285714
HOU,Kyle Allen,0.14,,0.2914285714285714,0.4266666666666667,0.0,0.0,,,,,,,0.4133333333333333
IND,Matt Ryan,,0.05,0.4410434782608696,0.2289230769230769,0.31401069518716584,0.2616666666666666,0.4450000000000001,0.4033333333333333,0.096,0.24,0.21,0.2254545454545455,0.1309090909090909
IND,Nick Foles,,,0.10666666666666667,0.34,0.21866666666666668,0.18666666666666668,,1.2,,,,0.04,
JAX,C.J. Beathard,,,1.12,,,,,,,,,0.2,
JAX,Trevor Lawrence,0.28,0.11000000000000004,0.2,0.3019999999999999,0.2689473684210526,0.2582278481012659,0.196,0.023157894736842103,-0.3,0.26,0.4480000000000001,0.17037037037037042,-0.09333333333333334
KC,Chad Henne,,,0.2533333333333333,0.24,0.17500000000000002,-0.13333333333333333,,0.0,,,,,0.28
KC,Patrick Mahomes,0.208,0.0,0.3591919191919191,0.4427272727272729,0.4883221476510067,0.3108474576271187,0.524,0.3790697674418605,1.0719999999999998,0.3466666666666667,0.25142857142857145,0.7794594594594595,0.1976470588235294
LAC,Justin Herbert,0.14,0.24,0.3275949367088609,0.5176119402985075,0.3538461538461538,0.3926829268292683,0.17894736842105266,0.22875,1.128,4.48,0.4400000000000001,0.21866666666666665,0.33777777777777784
