,nickName,route,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB
0,49ers,1.0,44,7.440000000000003,0,0,7.440000000000003,0.16909090909090915
1,49ers,2.0,54,12.559999999999997,0,-3,9.56,0.17703703703703705
2,49ers,3.0,12,3.52,0,0,3.52,0.29333333333333333
3,49ers,4.0,99,26.439999999999987,12,-3,35.44,0.35797979797979795
4,49ers,5.0,62,17.120000000000005,4,0,21.119999999999997,0.3406451612903225
5,49ers,6.0,49,19.72,4,-1,22.719999999999995,0.463673469387755
6,49ers,7.0,15,7.559999999999999,16,0,23.560000000000002,1.5706666666666669
7,49ers,8.0,21,8.92,4,-1,11.919999999999998,0.5676190476190476
8,49ers,9.0,65,25.480000000000004,24,-2,47.48,0.7304615384615384
9,49ers,10.0,39,5.880000000000002,0,-1,4.880000000000001,0.12512820512820516
10,49ers,11.0,50,12.879999999999997,4,-1,15.879999999999999,0.3176
11,Bears,1.0,31,6.880000000000002,4,0,10.879999999999999,0.35096774193548386
12,Bears,2.0,52,15.68,8,0,23.680000000000003,0.45538461538461544
13,Bears,3.0,4,0.0,0,0,0.0,0.0
14,Bears,4.0,48,12.879999999999995,4,-2,14.879999999999994,0.3099999999999999
15,Bears,5.0,43,10.64,0,0,10.64,0.2474418604651163
16,Bears,6.0,41,12.16,8,0,20.16,0.4917073170731707
17,Bears,7.0,20,7.64,12,0,19.640000000000004,0.9820000000000002
18,Bears,8.0,11,7.3999999999999995,8,-2,13.4,1.2181818181818183
19,Bears,9.0,52,14.440000000000001,24,-1,37.44,0.72
20,Bears,10.0,26,9.16,4,0,13.16,0.5061538461538462
21,Bears,11.0,23,5.280000000000001,4,0,9.279999999999998,0.4034782608695651
22,Bengals,1.0,48,12.479999999999999,4,0,16.48,0.3433333333333333
23,Bengals,2.0,74,19.000000000000007,12,-2,29.0,0.3918918918918919
24,Bengals,3.0,4,1.08,0,0,1.08,0.27
25,Bengals,4.0,105,27.479999999999986,0,-3,24.479999999999986,0.233142857142857
26,Bengals,5.0,71,18.0,12,-1,28.999999999999993,0.408450704225352
27,Bengals,6.0,71,27.0,12,-2,36.99999999999999,0.5211267605633801
28,Bengals,7.0,13,3.56,0,0,3.56,0.27384615384615385
29,Bengals,8.0,12,7.6000000000000005,8,0,15.600000000000003,1.3000000000000003
30,Bengals,9.0,60,26.400000000000006,24,-3,47.39999999999999,0.7899999999999998
31,Bengals,10.0,26,5.480000000000001,4,0,9.48,0.3646153846153846
32,Bengals,11.0,43,9.32,8,-1,16.319999999999997,0.37953488372093014
33,Bills,1.0,28,5.28,0,0,5.28,0.18857142857142858
34,Bills,2.0,77,21.48,8,-4,25.48,0.33090909090909093
35,Bills,3.0,8,1.6,0,0,1.6,0.2
36,Bills,4.0,81,20.280000000000005,4,-3,21.28,0.2627160493827161
37,Bills,5.0,45,9.799999999999999,4,-1,12.799999999999997,0.2844444444444444
38,Bills,6.0,62,23.080000000000002,4,-2,25.08,0.40451612903225803
39,Bills,7.0,17,4.0,12,0,16.0,0.9411764705882353
40,Bills,8.0,4,0.88,0,-2,-1.12,-0.28
41,Bills,9.0,37,8.2,8,-3,13.2,0.3567567567567567
42,Bills,10.0,34,10.039999999999997,4,0,14.039999999999997,0.41294117647058814
43,Bills,11.0,28,6.08,0,0,6.08,0.21714285714285714
44,Broncos,1.0,46,10.8,12,0,22.8,0.4956521739130435
45,Broncos,2.0,68,16.4,12,0,28.400000000000002,0.4176470588235294
46,Broncos,3.0,12,1.6400000000000001,0,0,1.6400000000000001,0.1366666666666667
47,Broncos,4.0,59,12.719999999999999,4,0,16.720000000000002,0.2833898305084746
48,Broncos,5.0,70,16.56,0,-2,14.56,0.20800000000000002
49,Broncos,6.0,54,24.52000000000001,4,-1,27.52000000000001,0.5096296296296298
50,Broncos,7.0,12,4.04,8,0,12.04,1.0033333333333332
51,Broncos,8.0,13,8.24,4,0,12.239999999999998,0.9415384615384614
52,Broncos,9.0,37,14.600000000000001,16,-5,25.6,0.6918918918918919
53,Broncos,10.0,17,2.84,0,-1,1.84,0.10823529411764707
54,Broncos,11.0,23,5.2,4,0,9.2,0.39999999999999997
55,Browns,1.0,48,8.4,8,0,16.399999999999995,0.34166666666666656
56,Browns,2.0,49,10.639999999999999,4,-3,11.64,0.23755102040816328
57,Browns,3.0,8,3.0,0,0,3.0,0.375
58,Browns,4.0,76,19.79999999999999,8,-3,24.79999999999999,0.32631578947368406
59,Browns,5.0,45,11.120000000000003,16,0,27.12,0.6026666666666667
60,Browns,6.0,32,10.520000000000001,4,-3,11.52,0.36
61,Browns,7.0,8,3.8799999999999994,4,0,7.88,0.985
62,Browns,8.0,14,5.0,4,-5,4.0,0.2857142857142857
63,Browns,9.0,44,16.08,16,0,32.08,0.729090909090909
64,Browns,10.0,29,7.240000000000004,8,0,15.239999999999998,0.5255172413793103
65,Browns,11.0,23,4.36,0,0,4.36,0.18956521739130436
66,Buccaneers,1.0,62,7.680000000000004,8,-1,14.679999999999996,0.23677419354838702
67,Buccaneers,2.0,57,14.360000000000001,12,0,26.359999999999996,0.4624561403508771
68,Buccaneers,3.0,9,1.08,0,0,1.08,0.12000000000000001
69,Buccaneers,4.0,137,35.55999999999998,0,-4,31.55999999999999,0.23036496350364957
70,Buccaneers,5.0,70,19.4,8,-1,26.399999999999995,0.37714285714285706
71,Buccaneers,6.0,44,16.759999999999998,4,-1,19.76,0.44909090909090915
72,Buccaneers,7.0,18,5.92,12,0,17.919999999999998,0.9955555555555554
73,Buccaneers,8.0,22,12.840000000000002,4,-1,15.840000000000002,0.7200000000000001
74,Buccaneers,9.0,61,15.52,24,-4,35.519999999999996,0.582295081967213
75,Buccaneers,10.0,42,9.840000000000002,0,0,9.840000000000002,0.23428571428571432
76,Buccaneers,11.0,41,9.400000000000002,4,0,13.400000000000002,0.326829268292683
77,Cardinals,1.0,37,8.200000000000005,4,0,12.200000000000005,0.32972972972972986
78,Cardinals,2.0,61,15.68,12,-3,24.68,0.4045901639344262
