,team,playerName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
0,PHI,A.J. Brown,Combination,1.1,0,1,2.1,3.0,0.7000000000000001
1,PHI,A.J. Brown,Cover 0,7.300000000000001,6,2,15.299999999999999,9.0,1.7
2,PHI,A.J. Brown,Cover 2,8.200000000000001,0,9,17.2,55.0,0.3127272727272727
3,PHI,A.J. Brown,Cover 4,14.200000000000003,6,7,27.2,34.0,0.7999999999999999
4,PHI,A.J. Brown,Cover 6,2.2,0,2,4.199999999999999,5.0,0.8399999999999999
5,PHI,A.J. Brown,Man Cover 2,3.7,0,3,6.7,14.0,0.4785714285714286
7,PHI,A.J. Brown,Screen,0.09999999999999998,0,4,4.1000000000000005,21.0,0.19523809523809527
8,ARI,A.J. Green,Cover 0,1.4000000000000001,6,1,8.4,15.0,0.56
9,ARI,A.J. Green,Cover 2,6.800000000000002,0,7,13.8,75.0,0.184
10,ARI,A.J. Green,Cover 4,9.600000000000001,0,4,13.600000000000001,72.0,0.1888888888888889
11,ARI,A.J. Green,Cover 6,5.4,0,4,9.4,24.0,0.39166666666666666
12,ARI,A.J. Green,Man Cover 2,0.8,0,1,1.8,14.0,0.1285714285714286
13,ARI,A.J. Green,Other,0.0,0,0,0.0,1.0,0.0
14,ARI,A.J. Green,Screen,1.8000000000000003,0,4,5.799999999999999,18.0,0.3222222222222222
16,GB,Aaron Jones,Cover 0,0.0,0,0,0.0,5.0,0.0
17,GB,Aaron Jones,Cover 2,11.4,0,5,16.400000000000002,22.0,0.7454545454545456
18,GB,Aaron Jones,Cover 4,5.5,6,9,20.5,35.0,0.5857142857142857
20,GB,Aaron Jones,Man Cover 2,1.2000000000000002,0,2,3.2,27.0,0.11851851851851852
22,GB,Aaron Jones,Screen,16.200000000000003,6,22,44.199999999999996,39.0,1.1333333333333333
26,MIA,Adam Shaheen,Cover 0,2.1,0,1,3.1,2.0,1.55
31,MIN,Adam Thielen,Cover 0,2.4000000000000004,6,1,9.4,6.0,1.5666666666666667
32,MIN,Adam Thielen,Cover 2,7.4,0,6,13.4,37.0,0.3621621621621622
33,MIN,Adam Thielen,Cover 4,19.8,6,13,38.8,70.0,0.5542857142857143
34,MIN,Adam Thielen,Cover 6,2.4000000000000004,0,2,4.4,9.0,0.48888888888888893
35,MIN,Adam Thielen,Man Cover 2,4.8999999999999995,0,6,10.900000000000002,32.0,0.34062500000000007
36,MIN,Adam Thielen,Prevent,0.0,0,0,0.0,6.0,0.0
37,MIN,Adam Thielen,Screen,3.6,0,8,11.600000000000001,38.0,0.3052631578947369
38,NO,Adam Trautman,Cover 0,0.0,0,0,0.0,8.0,0.0
39,NO,Adam Trautman,Cover 2,4.9,0,3,7.9,21.0,0.3761904761904762
40,NO,Adam Trautman,Cover 4,4.3,0,5,9.3,36.0,0.25833333333333336
41,NO,Adam Trautman,Prevent,0.6000000000000001,0,1,1.6,1.0,1.6
42,NO,Adam Trautman,Screen,4.0,0,6,10.000000000000002,11.0,0.9090909090909093
44,DEN,Albert Okwuegbunam,Combination,0.4,6,1,7.4,1.0,7.4
48,MIN,Albert Wilson,Cover 0,0.0,0,0,0.0,6.0,0.0
49,MIN,Albert Wilson,Cover 2,1.7000000000000002,0,3,4.699999999999999,23.0,0.20434782608695648
50,MIN,Albert Wilson,Cover 4,2.4,0,3,5.4,37.0,0.14594594594594595
51,MIN,Albert Wilson,Cover 6,0.0,0,0,0.0,6.0,0.0
53,MIN,Albert Wilson,Screen,4.300000000000001,0,8,12.3,13.0,0.9461538461538462
54,MIA,Alec Ingold,Cover 0,0.0,0,0,0.0,3.0,0.0
58,MIN,Alexander Mattison,Cover 2,1.0,0,2,3.0,15.0,0.2
59,MIN,Alexander Mattison,Cover 4,0.6,0,5,5.6,26.0,0.21538461538461537
60,MIN,Alexander Mattison,Cover 6,0.7000000000000001,0,1,1.7000000000000002,5.0,0.34
61,MIN,Alexander Mattison,Man Cover 2,0.9000000000000001,0,2,2.9000000000000004,11.0,0.26363636363636367
63,MIN,Alexander Mattison,Screen,9.600000000000001,0,8,17.6,18.0,0.9777777777777779
65,GB,Allen Lazard,Cover 2,3.1000000000000005,0,3,6.1,34.0,0.17941176470588235
67,GB,Allen Lazard,Cover 6,2.8000000000000003,6,2,10.8,19.0,0.5684210526315789
68,GB,Allen Lazard,Man Cover 2,1.4000000000000001,0,1,2.4000000000000004,33.0,0.07272727272727274
69,GB,Allen Lazard,Screen,3.4000000000000004,6,6,15.399999999999999,18.0,0.8555555555555555
72,NO,Alvin Kamara,Cover 2,11.0,0,11,22.0,35.0,0.6285714285714286
73,NO,Alvin Kamara,Cover 4,3.0,6,5,14.000000000000002,27.0,0.5185185185185186
74,NO,Alvin Kamara,Cover 6,0.30000000000000004,0,1,1.3,5.0,0.26
76,NO,Alvin Kamara,Screen,13.8,6,12,31.800000000000004,24.0,1.3250000000000002
78,CLE,Amari Cooper,Cover 0,0.0,0,0,0.0,16.0,0.0
79,CLE,Amari Cooper,Cover 2,8.7,0,7,15.7,81.0,0.19382716049382714
80,CLE,Amari Cooper,Cover 4,18.1,0,13,31.1,68.0,0.45735294117647063
81,CLE,Amari Cooper,Cover 6,1.0,0,1,2.0,10.0,0.2
82,CLE,Amari Cooper,Man Cover 2,4.0,6,5,15.0,21.0,0.7142857142857143
83,CLE,Amari Cooper,Screen,0.8,0,3,3.8,11.0,0.34545454545454546
87,DET,Amon-Ra St. Brown,Cover 0,0.5,0,1,1.5,5.0,0.3
88,DET,Amon-Ra St. Brown,Cover 2,6.800000000000001,6,7,19.8,54.0,0.3666666666666667
89,DET,Amon-Ra St. Brown,Cover 4,19.900000000000002,6,18,43.90000000000001,107.0,0.41028037383177585
90,DET,Amon-Ra St. Brown,Cover 6,0.5,0,1,1.5,20.0,0.075
91,DET,Amon-Ra St. Brown,Man Cover 2,4.4,0,3,7.4,12.0,0.6166666666666667
92,DET,Amon-Ra St. Brown,Other,0.0,0,0,0.0,1.0,0.0
93,DET,Amon-Ra St. Brown,Prevent,0.8,0,1,1.8,6.0,0.3
94,DET,Amon-Ra St. Brown,Screen,7.699999999999999,0,13,20.700000000000003,23.0,0.9000000000000001
97,ARI,Andy Isabella,Cover 0,1.3,0,1,2.3,2.0,1.15
98,ATL,Anthony Firkser,Cover 0,0.4,0,1,1.4,10.0,0.13999999999999999
99,ATL,Anthony Firkser,Cover 2,10.9,0,11,21.9,51.0,0.4294117647058823
100,ATL,Anthony Firkser,Cover 4,4.5,0,4,8.5,28.0,0.30357142857142855
101,ATL,Anthony Firkser,Man Cover 2,1.4,0,2,3.4,17.0,0.19999999999999998
105,PIT,Anthony McFarland Jr.,Prevent,1.1,0,1,2.1,2.0,1.05
110,CLE,Anthony Schwartz,Combination,0.0,0,0,0.0,1.0,0.0
111,CLE,Anthony Schwartz,Cover 0,0.0,0,0,0.0,2.0,0.0
112,CLE,Anthony Schwartz,Cover 2,1.6,0,1,2.6,14.0,0.18571428571428572
114,CLE,Anthony Schwartz,Man Cover 2,0.0,0,0,0.0,10.0,0.0
116,ARI,Antoine Wesley,Combination,0.0,0,0,0.0,2.0,0.0
117,ARI,Antoine Wesley,Cover 0,0.7000000000000001,0,1,1.7000000000000002,7.0,0.24285714285714288
118,ARI,Antoine Wesley,Cover 2,1.6,0,3,4.6,43.0,0.10697674418604651
120,ARI,Antoine Wesley,Cover 6,0.0,0,0,0.0,12.0,0.0
123,WAS,Antonio Gibson,Cover 2,2.2,0,2,4.2,20.0,0.21000000000000002
127,WAS,Antonio Gibson,Screen,11.8,6,16,33.800000000000004,27.0,1.251851851851852
130,IND,Ashton Dulin,Cover 6,2.4000000000000004,0,2,4.4,8.0,0.55
131,IND,Ashton Dulin,Man Cover 2,0.0,0,0,0.0,2.0,0.0
132,IND,Ashton Dulin,Screen,0.8,0,4,4.8,8.0,0.6
134,LAC,Austin Ekeler,Combination,1.4000000000000001,0,1,2.4000000000000004,2.0,1.2000000000000002
135,LAC,Austin Ekeler,Cover 2,11.0,6,10,27.0,45.0,0.6
136,LAC,Austin Ekeler,Cover 4,7.800000000000002,0,9,16.8,47.0,0.3574468085106383
137,LAC,Austin Ekeler,Cover 6,4.300000000000001,0,7,11.300000000000002,14.0,0.8071428571428573
