nickName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
49ers,Combination,2.5,0,2,4.5,46.0,0.09782608695652174,3,378,0.007936507936507936
49ers,Cover 0,1.8000000000000003,18,5,24.799999999999997,34.0,0.7294117647058823,10,378,0.026455026455026454
49ers,Cover 1,59.69999999999998,36,53,148.70000000000002,449.0,0.33118040089086864,102,378,0.2698412698412698
49ers,Cover 2,19.200000000000003,12,16,47.199999999999996,173.0,0.2728323699421965,22,378,0.0582010582010582
49ers,Cover 3,67.60000000000002,24,54,145.6,489.0,0.2977505112474437,82,378,0.21693121693121692
49ers,Cover 4,77.90000000000002,36,62,175.89999999999995,417.0,0.4218225419664267,95,378,0.25132275132275134
49ers,Cover 6,4.5,6,3,13.5,45.0,0.3,5,378,0.013227513227513227
49ers,Man Cover 2,3.7,0,3,6.7,70.0,0.09571428571428571,6,378,0.015873015873015872
49ers,Other,7.0,0,1,8.0,59.0,0.13559322033898305,1,378,0.0026455026455026454
49ers,Screen,30.599999999999998,6,46,82.60000000000001,129.0,0.64031007751938,52,378,0.13756613756613756
Bears,Combination,1.7000000000000002,0,1,2.7,29.0,0.09310344827586207,1,371,0.0026954177897574125
Bears,Cover 0,2.4000000000000004,24,5,31.400000000000002,46.0,0.682608695652174,8,371,0.0215633423180593
Bears,Cover 1,46.19999999999999,42,36,124.20000000000002,606.0,0.20495049504950497,66,371,0.1778975741239892
Bears,Cover 2,21.300000000000008,6,23,50.300000000000004,310.0,0.16225806451612904,32,371,0.0862533692722372
Bears,Cover 3,103.20000000000002,18,84,205.20000000000005,754.0,0.2721485411140584,126,371,0.33962264150943394
Bears,Cover 4,60.5,30,48,138.50000000000003,408.0,0.33946078431372556,68,371,0.18328840970350405
Bears,Cover 6,13.400000000000002,0,13,26.400000000000002,16.0,1.6500000000000001,21,371,0.05660377358490566
Bears,Man Cover 2,11.200000000000003,6,11,28.200000000000003,95.0,0.2968421052631579,16,371,0.0431266846361186
Bears,Other,1.5,6,3,10.5,13.0,0.8076923076923077,3,371,0.008086253369272238
Bears,Prevent,0.0,0,0,0.0,22.0,0.0,1,371,0.0026954177897574125
Bears,Screen,10.200000000000001,0,24,34.199999999999996,113.0,0.30265486725663715,29,371,0.07816711590296496
Bengals,Combination,0.0,0,1,1.0,54.0,0.018518518518518517,3,405,0.007407407407407408
Bengals,Cover 0,6.1,24,7,37.099999999999994,59.0,0.6288135593220338,18,405,0.044444444444444446
Bengals,Cover 1,107.29999999999998,42,81,230.30000000000013,557.0,0.41346499102333956,137,405,0.33827160493827163
Bengals,Cover 2,23.500000000000004,6,21,50.5,240.0,0.21041666666666667,31,405,0.07654320987654321
Bengals,Cover 3,76.60000000000001,30,63,169.6,674.0,0.2516320474777448,93,405,0.22962962962962963
Bengals,Cover 4,61.3,36,51,148.30000000000004,374.0,0.3965240641711231,72,405,0.17777777777777778
Bengals,Cover 6,4.3,0,4,8.299999999999999,48.0,0.17291666666666664,4,405,0.009876543209876543
Bengals,Man Cover 2,8.8,0,12,20.8,58.0,0.3586206896551724,17,405,0.04197530864197531
Bengals,Other,1.6,0,1,2.6,50.0,0.052000000000000005,1,405,0.0024691358024691358
Bengals,Prevent,3.3000000000000003,0,3,6.3,62.0,0.10161290322580645,3,405,0.007407407407407408
Bengals,Screen,14.100000000000001,0,18,32.099999999999994,145.0,0.22137931034482755,26,405,0.06419753086419754
Bills,Combination,0.9000000000000001,6,2,8.9,72.0,0.12361111111111112,4,544,0.007352941176470588
Bills,Cover 0,1.8,30,6,37.8,77.0,0.49090909090909085,12,544,0.022058823529411766
Bills,Cover 1,91.7,36,69,196.6999999999999,704.0,0.27940340909090894,119,544,0.21875
Bills,Cover 2,22.400000000000002,12,20,54.400000000000006,285.0,0.19087719298245617,36,544,0.0661764705882353
Bills,Cover 3,117.39999999999999,12,97,226.40000000000003,493.0,0.45922920892494934,151,544,0.2775735294117647
Bills,Cover 4,105.59999999999995,30,97,232.60000000000002,234.0,0.9940170940170941,137,544,0.25183823529411764
Bills,Cover 6,16.700000000000003,0,12,28.7,65.0,0.44153846153846155,14,544,0.025735294117647058
Bills,Man Cover 2,5.9,0,6,11.9,64.0,0.1859375,19,544,0.034926470588235295
Bills,Prevent,6.8,0,2,8.8,64.0,0.1375,5,544,0.009191176470588236
Bills,Screen,27.80000000000001,18,38,83.79999999999997,217.0,0.38617511520737313,47,544,0.08639705882352941
Broncos,Combination,3.9000000000000004,6,3,12.9,89.0,0.1449438202247191,5,380,0.013157894736842105
Broncos,Cover 0,11.5,30,13,54.5,44.0,1.2386363636363635,21,380,0.05526315789473684
Broncos,Cover 1,77.2,30,62,169.2,537.0,0.31508379888268156,115,380,0.3026315789473684
Broncos,Cover 2,11.000000000000002,6,10,27.0,318.0,0.08490566037735849,17,380,0.04473684210526316
Broncos,Cover 3,79.0,24,59,161.99999999999997,653.0,0.2480857580398162,81,380,0.2131578947368421
Broncos,Cover 4,59.1,24,48,131.1,319.0,0.41097178683385577,71,380,0.1868421052631579
Broncos,Cover 6,11.700000000000001,6,8,25.700000000000003,46.0,0.5586956521739131,15,380,0.039473684210526314
