team,playerName,CoverageType_pooled,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
PHI,A.J. Brown,Man,51.2,30,33,114.19999999999999,153.0,0.7464052287581698,50,116,0.43103448275862066
PHI,A.J. Brown,Other,2.0,0,6,8.0,41.0,0.1951219512195122,12,116,0.10344827586206896
PHI,A.J. Brown,Zone,48.9,6,30,84.89999999999999,130.0,0.653076923076923,54,116,0.46551724137931033
ARI,A.J. Green,Man,30.2,6,20,56.20000000000001,201.0,0.2796019900497513,38,99,0.3838383838383838
ARI,A.J. Green,Other,11.100000000000001,6,8,25.1,38.0,0.6605263157894737,19,99,0.1919191919191919
ARI,A.J. Green,Zone,51.800000000000004,6,29,86.79999999999997,226.0,0.38407079646017683,42,99,0.42424242424242425
GB,Aaron Jones,Man,17.900000000000002,18,14,49.900000000000006,109.0,0.45779816513761473,21,76,0.27631578947368424
GB,Aaron Jones,Other,20.099999999999998,12,29,61.099999999999994,50.0,1.222,34,76,0.4473684210526316
GB,Aaron Jones,Zone,14.600000000000005,6,19,39.599999999999994,91.0,0.4351648351648351,21,76,0.27631578947368424
MIA,Adam Shaheen,Man,7.700000000000001,0,6,13.700000000000001,2.0,6.8500000000000005,8,10,0.8
MIA,Adam Shaheen,Other,0.2,0,1,1.2,4.0,0.3,2,10,0.2
MIN,Adam Thielen,Man,28.400000000000002,24,23,75.4,161.0,0.46832298136645967,37,103,0.3592233009708738
MIN,Adam Thielen,Other,5.1000000000000005,24,12,41.1,59.0,0.6966101694915254,13,103,0.1262135922330097
MIN,Adam Thielen,Zone,41.800000000000004,12,35,88.8,203.0,0.4374384236453202,53,103,0.5145631067961165
NO,Adam Trautman,Man,7.7,6,5,18.700000000000003,29.0,0.6448275862068966,10,42,0.23809523809523808
NO,Adam Trautman,Other,7.0,6,9,22.0,16.0,1.375,11,42,0.2619047619047619
NO,Adam Trautman,Zone,11.600000000000003,0,13,24.6,97.0,0.2536082474226804,21,42,0.5
DEN,Albert Okwuegbunam,Man,12.500000000000002,0,11,23.5,38.0,0.618421052631579,14,42,0.3333333333333333
DEN,Albert Okwuegbunam,Other,1.7999999999999998,12,4,17.799999999999997,5.0,3.5599999999999996,4,42,0.09523809523809523
DEN,Albert Okwuegbunam,Zone,19.800000000000004,0,19,38.800000000000004,60.0,0.6466666666666667,24,42,0.5714285714285714
MIN,Albert Wilson,Man,5.300000000000001,0,9,14.299999999999999,87.0,0.164367816091954,20,42,0.47619047619047616
MIN,Albert Wilson,Other,5.6000000000000005,0,9,14.600000000000001,14.0,1.042857142857143,9,42,0.21428571428571427
MIN,Albert Wilson,Zone,13.800000000000002,0,8,21.8,43.0,0.5069767441860465,13,42,0.30952380952380953
MIA,Alec Ingold,Man,4.1000000000000005,0,3,7.1000000000000005,3.0,2.3666666666666667,5,6,0.8333333333333334
MIA,Alec Ingold,Other,0.1,6,1,7.1,1.0,7.1,1,6,0.16666666666666666
WAS,Alex Armah,Other,0.1,6,1,7.1,1.0,7.1,1,1,1.0
