,nickName,touch,RunDirection_descr,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch
0,49ers,103,Left A Gap,43.0,30,0,73.00000000000001,0.70873786407767
1,49ers,63,Left D Gap,33.699999999999996,30,0,63.7,1.011111111111111
2,49ers,85,Left Off-Tackle Gap Unknown,32.7,12,-1,43.70000000000002,0.5141176470588237
3,49ers,19,Middle,-1.4000000000000001,6,0,4.6000000000000005,0.24210526315789477
4,49ers,111,Right A Gap,39.80000000000002,18,0,57.800000000000004,0.5207207207207207
5,49ers,60,Right D Gap,32.099999999999994,12,0,44.099999999999994,0.7349999999999999
6,49ers,75,Right Off-Tackle Gap Unknown,24.000000000000004,6,-1,29.000000000000007,0.38666666666666677
7,Bears,71,Left A Gap,23.099999999999998,12,0,35.1,0.4943661971830986
8,Bears,55,Left D Gap,35.49999999999999,12,0,47.49999999999998,0.8636363636363632
9,Bears,111,Left Off-Tackle Gap Unknown,53.50000000000001,24,0,77.50000000000001,0.6981981981981983
10,Bears,21,Middle,-1.7000000000000004,0,-1,-2.7000000000000006,-0.12857142857142861
11,Bears,100,Right A Gap,37.900000000000006,18,-1,54.9,0.5489999999999999
12,Bears,48,Right D Gap,27.799999999999994,18,0,45.800000000000004,0.9541666666666667
13,Bears,93,Right Off-Tackle Gap Unknown,42.10000000000001,6,0,48.10000000000001,0.5172043010752689
14,Bengals,80,Left A Gap,39.20000000000001,6,0,45.2,0.5650000000000001
15,Bengals,68,Left D Gap,32.69999999999998,12,0,44.69999999999997,0.6573529411764701
16,Bengals,101,Left Off-Tackle Gap Unknown,51.4,30,-1,80.4,0.7960396039603961
17,Bengals,13,Middle,-1.2000000000000004,0,0,-1.2000000000000004,-0.09230769230769234
18,Bengals,82,Right A Gap,26.199999999999992,18,0,44.19999999999999,0.5390243902439023
19,Bengals,66,Right D Gap,32.300000000000004,6,0,38.3,0.5803030303030302
20,Bengals,93,Right Off-Tackle Gap Unknown,42.0,24,-1,65.00000000000001,0.6989247311827959
21,Bills,82,Left A Gap,34.100000000000016,42,0,76.1,0.9280487804878048
22,Bills,57,Left D Gap,26.0,24,0,49.99999999999999,0.8771929824561402
23,Bills,103,Left Off-Tackle Gap Unknown,47.400000000000006,30,0,77.40000000000003,0.7514563106796119
24,Bills,17,Middle,-1.1,6,-1,3.8999999999999986,0.22941176470588226
25,Bills,92,Right A Gap,30.299999999999997,6,0,36.30000000000001,0.39456521739130446
26,Bills,63,Right D Gap,37.0,18,0,55.000000000000014,0.8730158730158732
27,Bills,86,Right Off-Tackle Gap Unknown,46.699999999999996,0,-1,45.699999999999996,0.5313953488372093
