,playerName,DropType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
0,A.J. Brown,0/1 Step,15.400000000000002,12,17,44.400000000000006,30.0,1.4800000000000002
1,A.J. Brown,3 Step,27.1,18,20,65.1,31.0,2.0999999999999996
2,A.J. Brown,5 Step,34.10000000000001,6,20,60.1,24.0,2.504166666666667
3,A.J. Brown,7 Step,19.1,0,6,25.1,10.0,2.5100000000000002
8,A.J. Dillon,0/1 Step,2.7,0,5,7.7,5.0,1.54
9,A.J. Dillon,3 Step,12.1,12,18,42.1,19.0,2.2157894736842105
10,A.J. Dillon,5 Step,11.9,0,7,18.9,7.0,2.6999999999999997
11,A.J. Dillon,7 Step,4.1000000000000005,0,3,7.1,6.0,1.1833333333333333
13,A.J. Green,0/1 Step,5.1000000000000005,0,9,14.100000000000001,18.0,0.7833333333333334
14,A.J. Green,3 Step,36.699999999999996,0,19,55.70000000000001,34.0,1.6382352941176475
15,A.J. Green,5 Step,38.2,6,18,62.2,25.0,2.488
20,Aaron Jones,0/1 Step,12.700000000000001,6,16,34.7,19.0,1.8263157894736843
21,Aaron Jones,3 Step,17.7,0,18,35.7,17.0,2.1
22,Aaron Jones,5 Step,13.000000000000002,18,16,46.99999999999999,15.0,3.133333333333333
23,Aaron Jones,7 Step,3.9000000000000004,0,4,7.8999999999999995,4.0,1.9749999999999999
29,Adam Humphries,3 Step,15.899999999999999,0,17,32.900000000000006,25.0,1.3160000000000003
30,Adam Humphries,5 Step,14.5,0,12,26.5,22.0,1.2045454545454546
31,Adam Humphries,7 Step,4.5,0,3,7.500000000000001,6.0,1.2500000000000002
42,Adam Thielen,0/1 Step,7.1000000000000005,6,9,22.1,11.0,2.0090909090909093
43,Adam Thielen,3 Step,28.800000000000008,30,27,85.79999999999998,32.0,2.6812499999999995
44,Adam Thielen,5 Step,16.200000000000003,12,16,44.2,26.0,1.7000000000000002
45,Adam Thielen,7 Step,4.6,0,3,7.6,8.0,0.95
52,Adam Trautman,0/1 Step,1.7999999999999998,0,4,5.800000000000001,5.0,1.1600000000000001
53,Adam Trautman,3 Step,7.099999999999999,0,9,16.1,14.0,1.1500000000000001
54,Adam Trautman,5 Step,8.700000000000001,6,8,22.700000000000003,14.0,1.6214285714285717
55,Adam Trautman,7 Step,6.9,6,3,15.900000000000002,4.0,3.9750000000000005
62,Albert Okwuegbunam,0/1 Step,4.1000000000000005,0,4,8.100000000000001,5.0,1.6200000000000003
64,Albert Okwuegbunam,5 Step,4.7,0,5,9.700000000000001,8.0,1.2125000000000001
