team,playerName,Routes Run,DropType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
PHI,A.J. Brown,30.0,0/1 Step,15.400000000000002,12,17,44.400000000000006,30.0,1.4800000000000002,31,105,0.29523809523809524
PHI,A.J. Brown,31.0,3 Step,27.1,18,20,65.1,31.0,2.0999999999999996,35,105,0.3333333333333333
PHI,A.J. Brown,24.0,5 Step,34.10000000000001,6,20,60.1,24.0,2.504166666666667,26,105,0.24761904761904763
PHI,A.J. Brown,10.0,7 Step,19.1,0,6,25.1,10.0,2.5100000000000002,13,105,0.12380952380952381
ARI,A.J. Green,18.0,0/1 Step,5.1000000000000005,0,9,14.100000000000001,18.0,0.7833333333333334,18,84,0.21428571428571427
ARI,A.J. Green,34.0,3 Step,36.699999999999996,0,19,55.70000000000001,34.0,1.6382352941176475,36,84,0.42857142857142855
ARI,A.J. Green,25.0,5 Step,38.2,6,18,62.2,25.0,2.488,30,84,0.35714285714285715
GB,Aaron Jones,19.0,0/1 Step,12.700000000000001,6,16,34.7,19.0,1.8263157894736843,19,64,0.296875
GB,Aaron Jones,17.0,3 Step,17.7,0,18,35.7,17.0,2.1,24,64,0.375
GB,Aaron Jones,15.0,5 Step,13.000000000000002,18,16,46.99999999999999,15.0,3.133333333333333,17,64,0.265625
GB,Aaron Jones,4.0,7 Step,3.9000000000000004,0,4,7.8999999999999995,4.0,1.9749999999999999,4,64,0.0625
MIN,Adam Thielen,11.0,0/1 Step,7.1000000000000005,6,9,22.1,11.0,2.0090909090909093,13,84,0.15476190476190477
MIN,Adam Thielen,32.0,3 Step,28.800000000000008,30,27,85.79999999999998,32.0,2.6812499999999995,33,84,0.39285714285714285
MIN,Adam Thielen,26.0,5 Step,16.200000000000003,12,16,44.2,26.0,1.7000000000000002,27,84,0.32142857142857145
MIN,Adam Thielen,8.0,7 Step,4.6,0,3,7.6,8.0,0.95,11,84,0.13095238095238096
NO,Adam Trautman,5.0,0/1 Step,1.7999999999999998,0,4,5.800000000000001,5.0,1.1600000000000001,5,37,0.13513513513513514
NO,Adam Trautman,14.0,3 Step,7.099999999999999,0,9,16.1,14.0,1.1500000000000001,14,37,0.3783783783783784
NO,Adam Trautman,14.0,5 Step,8.700000000000001,6,8,22.700000000000003,14.0,1.6214285714285717,14,37,0.3783783783783784
NO,Adam Trautman,4.0,7 Step,6.9,6,3,15.900000000000002,4.0,3.9750000000000005,4,37,0.10810810810810811
DEN,Albert Okwuegbunam,5.0,0/1 Step,4.1000000000000005,0,4,8.100000000000001,5.0,1.6200000000000003,5,16,0.3125
DEN,Albert Okwuegbunam,8.0,5 Step,4.7,0,5,9.700000000000001,8.0,1.2125000000000001,9,16,0.5625
DEN,Albert Okwuegbunam,2.0,7 Step,1.0,0,2,3.0,2.0,1.5,2,16,0.125
MIN,Albert Wilson,9.0,0/1 Step,4.300000000000001,0,8,12.3,9.0,1.3666666666666667,9,28,0.32142857142857145
MIN,Albert Wilson,16.0,3 Step,5.500000000000001,0,9,14.5,16.0,0.90625,17,28,0.6071428571428571
MIN,Albert Wilson,2.0,7 Step,1.4000000000000001,0,2,3.4000000000000004,2.0,1.7000000000000002,2,28,0.07142857142857142
MIA,Alec Ingold,2.0,7 Step,1.4,0,2,3.4,2.0,1.7,2,2,1.0
MIN,Alexander Mattison,6.0,0/1 Step,3.0000000000000004,0,4,7.000000000000001,6.0,1.1666666666666667,6,11,0.5454545454545454
MIN,Alexander Mattison,5.0,7 Step,4.9,0,5,9.9,5.0,1.98,5,11,0.45454545454545453
GB,Allen Lazard,12.0,0/1 Step,11.4,12,11,34.4,12.0,2.8666666666666667,12,57,0.21052631578947367
GB,Allen Lazard,27.0,3 Step,22.000000000000004,18,16,56.0,27.0,2.074074074074074,28,57,0.49122807017543857
GB,Allen Lazard,10.0,5 Step,13.200000000000001,0,6,19.2,10.0,1.92,11,57,0.19298245614035087
GB,Allen Lazard,6.0,7 Step,1.3000000000000003,0,2,3.3000000000000003,6.0,0.55,6,57,0.10526315789473684
NO,Alvin Kamara,12.0,0/1 Step,5.800000000000001,12,9,26.8,12.0,2.2333333333333334,12,58,0.20689655172413793
NO,Alvin Kamara,25.0,3 Step,17.799999999999997,0,19,36.8,25.0,1.472,27,58,0.46551724137931033
NO,Alvin Kamara,14.0,5 Step,6.6,6,8,20.6,14.0,1.4714285714285715,15,58,0.25862068965517243
NO,Alvin Kamara,4.0,7 Step,1.1,0,3,4.1,4.0,1.025,4,58,0.06896551724137931
CLE,Amari Cooper,17.0,0/1 Step,9.700000000000001,6,11,26.7,17.0,1.5705882352941176,18,109,0.1651376146788991
CLE,Amari Cooper,46.0,3 Step,49.300000000000004,24,37,110.3,46.0,2.3978260869565218,57,109,0.5229357798165137
CLE,Amari Cooper,25.0,5 Step,24.700000000000003,6,16,46.7,25.0,1.868,28,109,0.25688073394495414
CLE,Amari Cooper,6.0,7 Step,7.6000000000000005,0,5,12.600000000000001,6.0,2.1,6,109,0.05504587155963303
DET,Amon-Ra St. Brown,14.0,0/1 Step,7.1000000000000005,0,12,19.099999999999998,14.0,1.364285714285714,14,111,0.12612612612612611
DET,Amon-Ra St. Brown,60.0,3 Step,45.2,18,47,110.19999999999997,60.0,1.8366666666666662,63,111,0.5675675675675675
DET,Amon-Ra St. Brown,22.0,5 Step,15.6,6,12,33.6,22.0,1.5272727272727273,22,111,0.1981981981981982
DET,Amon-Ra St. Brown,12.0,7 Step,22.700000000000003,6,11,39.7,12.0,3.3083333333333336,12,111,0.10810810810810811
ATL,Anthony Firkser,16.0,0/1 Step,14.300000000000002,0,14,28.299999999999997,16.0,1.7687499999999998,16,40,0.4
ATL,Anthony Firkser,23.0,3 Step,11.500000000000002,6,16,33.5,23.0,1.4565217391304348,24,40,0.6
CLE,Anthony Schwartz,7.0,5 Step,0.5,0,1,1.5,7.0,0.21428571428571427,7,10,0.7
CLE,Anthony Schwartz,3.0,7 Step,6.0,0,2,8.0,3.0,2.6666666666666665,3,10,0.3
ARI,Antoine Wesley,8.0,0/1 Step,3.7000000000000006,0,6,9.7,8.0,1.2125,8,31,0.25806451612903225
ARI,Antoine Wesley,14.0,3 Step,8.200000000000001,6,7,21.2,14.0,1.5142857142857142,14,31,0.45161290322580644
ARI,Antoine Wesley,7.0,5 Step,2.6,6,2,10.600000000000001,7.0,1.5142857142857145,9,31,0.2903225806451613
WAS,Antonio Gibson,23.0,3 Step,11.600000000000001,12,18,41.6,23.0,1.808695652173913,25,39,0.6410256410256411
WAS,Antonio Gibson,8.0,5 Step,5.0,0,8,13.0,8.0,1.625,11,39,0.28205128205128205
WAS,Antonio Gibson,3.0,7 Step,1.6,0,2,3.5999999999999996,3.0,1.2,3,39,0.07692307692307693
IND,Ashton Dulin,4.0,7 Step,8.5,6,2,16.5,4.0,4.125,4,4,1.0
LAC,Austin Ekeler,21.0,0/1 Step,9.700000000000001,24,15,48.699999999999996,21.0,2.319047619047619,21,84,0.25
LAC,Austin Ekeler,27.0,3 Step,18.8,12,22,52.800000000000004,27.0,1.9555555555555557,27,84,0.32142857142857145
LAC,Austin Ekeler,29.0,5 Step,22.2,0,19,41.2,29.0,1.420689655172414,32,84,0.38095238095238093
LAC,Austin Ekeler,4.0,7 Step,3.6,0,4,7.6,4.0,1.9,4,84,0.047619047619047616
TEN,Austin Hooper,29.0,3 Step,17.199999999999996,12,21,50.20000000000002,29.0,1.7310344827586213,30,50,0.6
TEN,Austin Hooper,13.0,5 Step,1.8000000000000003,6,3,10.799999999999999,13.0,0.8307692307692307,13,50,0.26
TEN,Austin Hooper,6.0,7 Step,5.9,0,4,9.9,6.0,1.6500000000000001,7,50,0.14
LAR,Ben Skowronek,5.0,7 Step,4.5,0,4,8.5,5.0,1.7,6,6,1.0
HOU,Brandin Cooks,29.0,0/1 Step,16.6,0,20,36.60000000000001,29.0,1.2620689655172417,29,118,0.2457627118644068
HOU,Brandin Cooks,55.0,3 Step,49.79999999999999,12,41,102.8,55.0,1.8690909090909091,57,118,0.4830508474576271
HOU,Brandin Cooks,22.0,5 Step,22.0,6,12,40.00000000000001,22.0,1.8181818181818186,22,118,0.1864406779661017
