,nickName,TargetType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Team,RouteType,Routes Run,FP/routes
9,49ers,Comeback,8.8,0,6,14.799999999999997,49ers,Comeback,18.0,0.8222222222222221
10,49ers,Corner,19.700000000000003,30,10,59.7,49ers,Corner,51.0,1.1705882352941177
11,49ers,Curl,64.30000000000001,12,70,146.30000000000004,49ers,Curl,166.0,0.8813253012048196
13,49ers,Dig,30.10000000000001,0,21,51.09999999999999,49ers,Dig,249.0,0.2052208835341365
23,49ers,Out,45.4,6,49,100.40000000000002,49ers,Out,179.0,0.5608938547486034
26,49ers,Post,22.300000000000004,6,8,36.300000000000004,49ers,Post,78.0,0.46538461538461545
38,49ers,Slant,23.4,0,21,44.4,49ers,Slant,108.0,0.4111111111111111
52,Bears,Comeback,1.5,0,1,2.5,Bears,Comeback,31.0,0.08064516129032258
53,Bears,Corner,21.5,24,10,55.49999999999999,Bears,Corner,82.0,0.6768292682926829
55,Bears,Curl,24.899999999999995,6,30,60.89999999999999,Bears,Curl,517.0,0.11779497098646033
57,Bears,Dig,19.5,6,15,40.5,Bears,Dig,153.0,0.2647058823529412
67,Bears,Out,30.60000000000001,0,33,63.60000000000001,Bears,Out,165.0,0.3854545454545455
70,Bears,Post,25.200000000000003,18,6,49.2,Bears,Post,64.0,0.76875
80,Bears,Slant,34.00000000000001,24,29,87.00000000000001,Bears,Slant,120.0,0.7250000000000001
93,Bengals,Comeback,6.9,0,6,12.900000000000002,Bengals,Comeback,22.0,0.5863636363636364
94,Bengals,Corner,18.300000000000004,12,7,37.300000000000004,Bengals,Corner,99.0,0.3767676767676768
96,Bengals,Curl,65.19999999999997,0,79,144.2,Bengals,Curl,356.0,0.40505617977528086
98,Bengals,Dig,39.40000000000001,0,29,68.4,Bengals,Dig,194.0,0.3525773195876289
107,Bengals,Out,49.9,18,56,123.90000000000002,Bengals,Out,182.0,0.6807692307692309
110,Bengals,Post,19.0,12,9,40.0,Bengals,Post,47.0,0.851063829787234
121,Bengals,Slant,32.2,18,29,79.2,Bengals,Slant,171.0,0.4631578947368421
134,Bills,Comeback,5.1000000000000005,0,5,10.1,Bills,Comeback,30.0,0.33666666666666667
135,Bills,Corner,11.200000000000001,18,7,36.2,Bills,Corner,66.0,0.5484848484848486
137,Bills,Curl,49.6,6,63,118.60000000000004,Bills,Curl,636.0,0.18647798742138372
139,Bills,Dig,40.5,6,28,74.5,Bills,Dig,199.0,0.3743718592964824
147,Bills,Out,32.60000000000001,6,40,78.59999999999998,Bills,Out,160.0,0.49124999999999985
150,Bills,Post,4.1000000000000005,0,2,6.1000000000000005,Bills,Post,107.0,0.05700934579439253
159,Bills,Slant,26.500000000000004,12,21,59.50000000000001,Bills,Slant,99.0,0.6010101010101011
174,Broncos,Comeback,4.700000000000001,0,5,9.700000000000001,Broncos,Comeback,8.0,1.2125000000000001
175,Broncos,Corner,15.900000000000002,18,8,41.9,Broncos,Corner,103.0,0.40679611650485437
177,Broncos,Curl,23.8,0,30,53.800000000000004,Broncos,Curl,406.0,0.13251231527093596
179,Broncos,Dig,42.599999999999994,0,29,71.6,Broncos,Dig,267.0,0.2681647940074906
190,Broncos,Out,53.499999999999986,0,55,108.50000000000001,Broncos,Out,176.0,0.6164772727272728
193,Broncos,Post,20.6,6,8,34.6,Broncos,Post,87.0,0.3977011494252874
202,Broncos,Slant,28.7,6,22,56.699999999999996,Broncos,Slant,78.0,0.7269230769230769
214,Browns,Comeback,10.8,0,8,18.8,Browns,Comeback,16.0,1.175
215,Browns,Corner,9.700000000000001,6,5,20.7,Browns,Corner,105.0,0.19714285714285715
217,Browns,Curl,59.30000000000002,12,62,133.29999999999998,Browns,Curl,237.0,0.5624472573839662
219,Browns,Dig,14.8,6,11,31.800000000000004,Browns,Dig,113.0,0.28141592920353986
230,Browns,Out,34.49999999999999,24,41,99.49999999999997,Browns,Out,261.0,0.38122605363984663
233,Browns,Post,16.700000000000003,12,4,32.7,Browns,Post,69.0,0.4739130434782609
245,Browns,Slant,32.800000000000004,18,23,73.80000000000001,Browns,Slant,101.0,0.7306930693069308
259,Buccaneers,Comeback,4.0,6,5,15.0,Buccaneers,Comeback,22.0,0.6818181818181818
260,Buccaneers,Corner,14.8,18,7,39.800000000000004,Buccaneers,Corner,91.0,0.4373626373626374
262,Buccaneers,Curl,91.69999999999997,0,104,195.70000000000005,Buccaneers,Curl,379.0,0.516358839050132
264,Buccaneers,Dig,26.1,0,15,41.10000000000001,Buccaneers,Dig,252.0,0.16309523809523813
274,Buccaneers,Out,55.79999999999999,18,57,130.80000000000004,Buccaneers,Out,264.0,0.4954545454545456
277,Buccaneers,Post,32.10000000000001,6,12,50.099999999999994,Buccaneers,Post,182.0,0.27527472527472524
289,Buccaneers,Slant,27.799999999999997,12,27,66.80000000000001,Buccaneers,Slant,136.0,0.4911764705882354
303,Cardinals,Comeback,3.9,6,4,13.9,Cardinals,Comeback,19.0,0.7315789473684211
304,Cardinals,Corner,11.2,18,5,34.2,Cardinals,Corner,91.0,0.3758241758241759
305,Cardinals,Curl,50.20000000000002,0,58,108.2,Cardinals,Curl,398.0,0.2718592964824121
307,Cardinals,Dig,28.200000000000003,0,19,47.199999999999996,Cardinals,Dig,80.0,0.59
319,Cardinals,Out,65.30000000000001,30,66,161.29999999999995,Cardinals,Out,111.0,1.4531531531531527
322,Cardinals,Post,32.400000000000006,24,13,69.39999999999999,Cardinals,Post,69.0,1.0057971014492753
333,Cardinals,Slant,22.199999999999996,12,21,55.2,Cardinals,Slant,100.0,0.552
346,Chargers,Comeback,5.300000000000001,0,4,9.3,Chargers,Comeback,31.0,0.30000000000000004
347,Chargers,Corner,18.300000000000004,0,5,23.300000000000004,Chargers,Corner,127.0,0.1834645669291339
348,Chargers,Curl,33.3,6,45,84.30000000000003,Chargers,Curl,459.0,0.18366013071895432
350,Chargers,Dig,39.2,6,30,75.20000000000003,Chargers,Dig,183.0,0.410928961748634
360,Chargers,Out,54.90000000000002,18,52,124.90000000000003,Chargers,Out,235.0,0.5314893617021278
363,Chargers,Post,20.8,6,5,31.8,Chargers,Post,109.0,0.29174311926605506
372,Chargers,Slant,25.000000000000004,6,21,51.999999999999986,Chargers,Slant,156.0,0.33333333333333326
386,Chiefs,Comeback,5.6,0,6,11.6,Chiefs,Comeback,5.0,2.32
387,Chiefs,Corner,20.0,24,9,53.0,Chiefs,Corner,91.0,0.5824175824175825
389,Chiefs,Curl,68.50000000000001,24,75,167.49999999999997,Chiefs,Curl,502.0,0.33366533864541825
391,Chiefs,Dig,24.6,0,20,44.599999999999994,Chiefs,Dig,181.0,0.2464088397790055
401,Chiefs,Out,39.20000000000001,24,45,108.20000000000002,Chiefs,Out,221.0,0.48959276018099557
404,Chiefs,Post,27.900000000000002,30,9,66.9,Chiefs,Post,107.0,0.6252336448598131
412,Chiefs,Slant,35.199999999999996,6,35,76.20000000000002,Chiefs,Slant,117.0,0.6512820512820514
426,Colts,Comeback,5.9,6,7,18.9,Colts,Comeback,21.0,0.8999999999999999
427,Colts,Corner,16.3,0,7,23.3,Colts,Corner,120.0,0.19416666666666668
429,Colts,Curl,53.70000000000002,6,60,119.70000000000002,Colts,Curl,401.0,0.2985037406483791
431,Colts,Dig,37.8,12,26,75.8,Colts,Dig,217.0,0.3493087557603686
443,Colts,Out,49.30000000000001,12,48,109.30000000000003,Colts,Out,80.0,1.3662500000000004
446,Colts,Post,21.4,18,11,50.4,Colts,Post,97.0,0.5195876288659793
455,Colts,Slant,27.1,18,23,68.10000000000001,Colts,Slant,56.0,1.2160714285714287
469,Cowboys,Comeback,7.300000000000001,0,7,14.299999999999999,Cowboys,Comeback,39.0,0.36666666666666664
470,Cowboys,Corner,15.7,0,5,20.7,Cowboys,Corner,98.0,0.21122448979591835
472,Cowboys,Curl,52.00000000000001,0,46,98.00000000000001,Cowboys,Curl,432.0,0.2268518518518519
474,Cowboys,Dig,41.2,12,20,73.20000000000002,Cowboys,Dig,210.0,0.34857142857142864
485,Cowboys,Out,35.39999999999999,0,37,72.4,Cowboys,Out,239.0,0.30292887029288706
488,Cowboys,Post,13.700000000000001,0,5,18.700000000000003,Cowboys,Post,131.0,0.14274809160305346
498,Cowboys,Slant,20.000000000000004,6,19,45.0,Cowboys,Slant,166.0,0.2710843373493976
511,Dolphins,Comeback,6.9,0,5,11.899999999999999,Dolphins,Comeback,11.0,1.0818181818181818
512,Dolphins,Corner,13.2,12,6,31.2,Dolphins,Corner,108.0,0.28888888888888886
514,Dolphins,Curl,47.39999999999997,6,48,101.39999999999998,Dolphins,Curl,313.0,0.32396166134185295
