,team,playerName,blockingSchemeType_descr,touch,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch
0,GB,Aaron Jones,Duo,16,6.500000000000001,12,0,18.499999999999996,1.1562499999999998
1,GB,Aaron Jones,Pull Across,11,3.5,0,0,3.5,0.3181818181818182
2,GB,Aaron Jones,Split Zone,18,5.5,0,0,5.5,0.3055555555555556
3,GB,Aaron Jones,Zone,128,66.90000000000006,12,-1,77.90000000000003,0.6085937500000003
4,GB,Aaron Rodgers,Pass Protection,14,10.200000000000001,12,0,22.2,1.5857142857142856
5,GB,Aaron Rodgers,Zone,16,-0.4999999999999999,6,0,5.500000000000001,0.34375000000000006
6,MIN,Alexander Mattison,Pull Across,9,3.1,6,0,9.1,1.011111111111111
7,MIN,Alexander Mattison,Split Zone,15,8.8,0,0,8.8,0.5866666666666667
8,MIN,Alexander Mattison,Zone,100,35.20000000000001,12,-1,46.199999999999996,0.46199999999999997
9,NO,Alvin Kamara,Duo,28,10.400000000000004,6,0,16.400000000000002,0.5857142857142857
10,NO,Alvin Kamara,Pass Protection,6,1.3,0,0,1.3,0.21666666666666667
11,NO,Alvin Kamara,Pull Across,24,7.800000000000001,0,0,7.800000000000001,0.325
12,NO,Alvin Kamara,Pull Front,13,7.1000000000000005,0,0,7.1000000000000005,0.5461538461538462
13,NO,Alvin Kamara,Pull Outside Numbers,8,5.200000000000001,0,0,5.200000000000001,0.6500000000000001
14,NO,Alvin Kamara,Split Zone,26,9.700000000000001,6,0,15.700000000000005,0.603846153846154
15,NO,Alvin Kamara,Zone,130,50.599999999999994,6,0,56.599999999999994,0.4353846153846153
16,NO,Andy Dalton,Pass Protection,10,7.600000000000001,0,0,7.600000000000001,0.7600000000000001
17,WAS,Antonio Gibson,Duo,8,0.8000000000000002,0,0,0.8000000000000002,0.10000000000000002
18,WAS,Antonio Gibson,Pull 2,9,4.6000000000000005,0,0,4.6000000000000005,0.5111111111111112
19,WAS,Antonio Gibson,Pull Across,28,10.599999999999996,0,0,10.599999999999996,0.37857142857142845
20,WAS,Antonio Gibson,Pull Outside Numbers,10,4.1000000000000005,0,0,4.1000000000000005,0.41000000000000003
21,WAS,Antonio Gibson,Split Zone,46,18.299999999999997,0,-1,17.3,0.3760869565217391
22,WAS,Antonio Gibson,Zone,152,64.70000000000003,42,-2,104.70000000000003,0.6888157894736844
23,LAC,Austin Ekeler,Duo,25,10.800000000000002,18,0,28.800000000000004,1.1520000000000001
24,LAC,Austin Ekeler,Pull Across,26,9.000000000000002,18,0,26.999999999999996,1.0384615384615383
25,LAC,Austin Ekeler,Pull Front,6,2.2,6,0,8.2,1.3666666666666665
26,LAC,Austin Ekeler,Split Zone,29,11.2,18,0,29.199999999999992,1.0068965517241377
27,LAC,Austin Ekeler,Zone,106,53.3,12,0,65.3,0.6160377358490565
28,CAR,Baker Mayfield,Pass Protection,14,10.200000000000001,6,0,16.199999999999996,1.1571428571428568
29,CAR,Baker Mayfield,Slide Right,6,1.7000000000000002,0,0,1.7000000000000002,0.2833333333333334
30,CAR,Baker Mayfield,Zone,12,0.30000000000000004,0,0,0.30000000000000004,0.025000000000000005
31,TB,Blaine Gabbert,Zone,9,-0.7,0,0,-0.7,-0.07777777777777778
32,PHI,Boston Scott,Pull Across,7,4.199999999999999,6,0,10.2,1.457142857142857
33,PHI,Boston Scott,Pull Front,9,7.900000000000001,6,-1,12.9,1.4333333333333333
34,PHI,Boston Scott,Split Zone,10,7.6000000000000005,6,0,13.6,1.3599999999999999
35,PHI,Boston Scott,Zone,51,19.200000000000006,30,0,49.19999999999999,0.964705882352941
36,CIN,Brandon Allen,Zone,6,-0.09999999999999998,0,0,-0.09999999999999998,-0.016666666666666663
37,LV,Brandon Bolden,Duo,6,1.7000000000000002,0,0,1.7000000000000002,0.2833333333333334
38,LV,Brandon Bolden,Pull Across,13,7.500000000000001,0,0,7.500000000000001,0.576923076923077
39,LV,Brandon Bolden,Zone,16,7.500000000000001,6,0,13.5,0.84375
40,NE,Brian Hoyer,Zone,11,-0.7999999999999999,0,0,-0.7999999999999999,-0.07272727272727272
41,LAR,Cam Akers,Duo,11,3.1000000000000005,0,0,3.1000000000000005,0.28181818181818186
42,LAR,Cam Akers,Split Zone,11,3.4000000000000004,0,0,3.4000000000000004,0.30909090909090914
43,LAR,Cam Akers,Zone,48,12.700000000000003,0,-2,10.700000000000001,0.22291666666666668
44,WAS,Carson Wentz,Pass Protection,22,15.6,0,0,15.6,0.7090909090909091
45,WAS,Carson Wentz,Zone,27,1.7000000000000002,6,-1,6.700000000000002,0.24814814814814823
46,BUF,Case Keenum,Zone,8,0.30000000000000004,0,0,0.30000000000000004,0.037500000000000006
47,DAL,CeeDee Lamb,Zone,6,5.0,0,0,5.0,0.8333333333333334
48,KC,Chad Henne,Zone,7,-0.4,0,0,-0.4,-0.05714285714285715
49,PIT,Chase Claypool,Zone,10,4.4,0,0,4.4,0.44000000000000006
50,MIA,Chase Edmonds,Pass Protection,8,4.000000000000001,0,0,4.000000000000001,0.5000000000000001
51,MIA,Chase Edmonds,Pull Across,14,7.300000000000001,6,0,13.299999999999997,0.9499999999999998
52,MIA,Chase Edmonds,Split Zone,13,3.3000000000000007,6,0,9.3,0.7153846153846154
53,MIA,Chase Edmonds,Zone,75,42.00000000000002,0,0,42.00000000000002,0.5600000000000003
54,SEA,Chris Carson,Pull Across,6,3.3000000000000003,0,0,3.3000000000000003,0.55
55,SEA,Chris Carson,Zone,36,17.000000000000004,18,-1,34.00000000000001,0.9444444444444446
56,CIN,Chris Evans,Zone,12,5.6000000000000005,0,0,5.6000000000000005,0.46666666666666673
57,CAR,Christian McCaffrey,Duo,16,7.800000000000001,0,0,7.800000000000001,0.48750000000000004
58,CAR,Christian McCaffrey,Pull 2,7,3.1999999999999997,0,0,3.1999999999999997,0.45714285714285713
59,CAR,Christian McCaffrey,Pull Across,11,5.300000000000001,0,0,5.300000000000001,0.48181818181818187
60,CAR,Christian McCaffrey,Zone,56,24.599999999999994,6,0,30.59999999999999,0.5464285714285713
