,nickName,TargetType_descr,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB
0,49ers,Angle,4,1.08,0,0,1.08,0.27
1,49ers,Beneath,2,0.88,0,0,0.88,0.44
2,49ers,Broken Play,27,10.040000000000001,4,-1,13.04,0.4829629629629629
3,49ers,Check & Release,16,4.64,0,0,4.64,0.29
4,49ers,Chip - Curl,6,1.2,0,0,1.2,0.19999999999999998
5,49ers,Chip - Drag,5,1.12,0,-1,0.12,0.024
6,49ers,Chip - Flat,19,3.8400000000000003,0,0,3.8400000000000003,0.20210526315789476
7,49ers,Chip - Seam,4,2.08,4,0,6.080000000000001,1.5200000000000002
8,49ers,Comeback,12,3.52,0,0,3.52,0.29333333333333333
9,49ers,Corner,15,7.559999999999999,16,0,23.560000000000002,1.5706666666666669
10,49ers,Curl,89,24.35999999999999,8,-2,30.35999999999999,0.3411235955056178
11,49ers,Deep Cross,8,7.68,4,0,11.68,1.46
12,49ers,Dig,41,12.040000000000001,0,-1,11.04,0.2692682926829268
13,49ers,Drag,16,2.6400000000000006,0,-1,1.6400000000000006,0.10250000000000004
14,49ers,Fade,18,5.88,12,0,17.88,0.9933333333333333
15,49ers,Fade - Back Shoulder,12,4.52,4,0,8.52,0.71
16,49ers,Flat - Left,17,3.4400000000000013,0,0,3.4400000000000013,0.20235294117647065
17,49ers,Flat - Right,15,1.52,0,0,1.52,0.10133333333333333
18,49ers,Go/Fly,28,11.76,0,-2,9.76,0.3485714285714286
19,49ers,Hitch & Go,5,1.12,4,0,5.12,1.024
20,49ers,Jet Sweep Pass,1,-0.12,0,0,-0.12,-0.12
21,49ers,No Video,1,0.0,0,0,0.0,0.0
22,49ers,Out,62,17.120000000000005,4,0,21.119999999999997,0.3406451612903225
23,49ers,Out & Up,4,3.4400000000000004,0,0,3.4400000000000004,0.8600000000000001
24,49ers,Over Ball,7,1.48,0,-1,0.48,0.06857142857142857
25,49ers,Post,21,8.92,4,-1,11.919999999999998,0.5676190476190476
26,49ers,Quick,1,0.28,0,0,0.28,0.28
27,49ers,Screen - Bubble,8,0.52,0,0,0.52,0.065
28,49ers,Screen - Drag,3,0.72,0,0,0.72,0.24
29,49ers,Screen - Quick,1,0.04,0,0,0.04,0.04
30,49ers,Screen - RB,6,1.8,0,0,1.8,0.3
31,49ers,Screen - TE,3,0.6,0,0,0.6,0.19999999999999998
32,49ers,Screen - Tunnel,16,2.0399999999999996,0,-1,1.0399999999999996,0.06499999999999997
33,49ers,Seam,3,0.32,4,0,4.32,1.4400000000000002
34,49ers,Slant,34,8.840000000000003,0,-2,6.840000000000001,0.20117647058823532
35,49ers,Sluggo,1,1.28,4,0,5.28,5.28
36,49ers,Stick - Nod,3,1.0,0,0,1.0,0.3333333333333333
37,49ers,Swing - Left,3,0.16,0,0,0.16,0.05333333333333334
38,49ers,Swing - Right,7,1.44,0,0,1.44,0.2057142857142857
39,49ers,Wheel,4,3.0,4,0,7.0,1.75
40,49ers,Whip,3,0.6,4,0,4.6000000000000005,1.5333333333333334
41,Bears,Angle,7,1.96,0,-1,0.96,0.13714285714285715
42,Bears,Beneath,1,0.28,0,0,0.28,0.28
43,Bears,Broken Play,25,8.84,4,0,12.840000000000002,0.5136000000000001
44,Bears,Check & Release,8,1.7199999999999998,4,0,5.7200000000000015,0.7150000000000002
45,Bears,Chip - Drag,2,0.76,0,0,0.76,0.38
46,Bears,Chip - Flat,15,3.12,0,0,3.12,0.20800000000000002
47,Bears,Comeback,4,0.0,0,0,0.0,0.0
48,Bears,Corner,20,7.64,12,0,19.640000000000004,0.9820000000000002
49,Bears,Corner Post,1,0.0,0,0,0.0,0.0
50,Bears,Curl,42,9.52,4,-2,11.519999999999998,0.27428571428571424
51,Bears,Deep Cross,11,4.84,4,0,8.84,0.8036363636363636
52,Bears,Dig,34,7.8,4,0,11.800000000000002,0.34705882352941186
53,Bears,Drag,11,1.04,0,0,1.04,0.09454545454545454
54,Bears,Fade,10,1.6400000000000001,4,0,5.64,0.564
55,Bears,Fade - Back Shoulder,6,2.28,4,0,6.28,1.0466666666666666
56,Bears,Flat - Left,5,1.76,0,0,1.76,0.352
57,Bears,Flat - Right,14,2.92,0,0,2.92,0.20857142857142857
58,Bears,Go/Fly,20,7.360000000000001,8,0,15.36,0.768
59,Bears,Hitch & Go,2,0.72,0,0,0.72,0.36
60,Bears,Jerk,2,0.52,0,0,0.52,0.26
61,Bears,Jet Sweep Pass,3,0.4,0,0,0.4,0.13333333333333333
62,Bears,Out,46,11.560000000000002,0,0,11.560000000000002,0.251304347826087
63,Bears,Out & Up,3,2.12,8,0,10.12,3.373333333333333
64,Bears,Over Ball,3,0.84,0,0,0.84,0.27999999999999997
65,Bears,Post,11,7.3999999999999995,8,-2,13.4,1.2181818181818183
66,Bears,Quick,5,0.44,0,0,0.44,0.088
67,Bears,Screen - Beneath,1,0.0,0,0,0.0,0.0
68,Bears,Screen - Bubble,3,1.4,0,0,1.4,0.4666666666666666
69,Bears,Screen - Quick,2,0.52,0,0,0.52,0.26
70,Bears,Screen - RB,4,0.64,0,0,0.64,0.16
71,Bears,Screen - Shovel,1,0.04,4,0,4.04,4.04
72,Bears,Screen - Tunnel,10,5.36,0,0,5.36,0.536
73,Bears,Seam,18,6.279999999999999,12,-1,17.279999999999998,0.9599999999999999
74,Bears,Slant,36,13.040000000000003,8,-1,20.040000000000006,0.5566666666666669
75,Bears,Sluggo,1,1.56,4,0,5.5600000000000005,5.5600000000000005
76,Bears,Swing - Left,3,0.48,0,0,0.48,0.16
77,Bears,Swing - Right,10,1.72,4,0,5.720000000000001,0.5720000000000001
78,Bears,Wheel,3,0.0,0,0,0.0,0.0
79,Bears,Whip,9,3.5999999999999996,0,0,3.5999999999999996,0.39999999999999997
80,Bengals,Angle,9,1.9199999999999997,0,0,1.9199999999999997,0.2133333333333333
81,Bengals,Beneath,1,0.28,0,0,0.28,0.28
82,Bengals,Broken Play,48,10.24,8,-2,16.240000000000002,0.3383333333333334
83,Bengals,Check & Release,20,5.320000000000001,4,0,9.32,0.466
84,Bengals,Chip - Curl,3,0.28,0,-1,-0.72,-0.24
85,Bengals,Chip - Drag,4,1.04,4,0,5.040000000000001,1.2600000000000002
86,Bengals,Chip - Flat,18,3.4400000000000004,0,0,3.4400000000000004,0.19111111111111112
87,Bengals,Comeback,8,2.4800000000000004,0,0,2.4800000000000004,0.31000000000000005
88,Bengals,Corner,17,5.12,0,0,5.12,0.3011764705882353
89,Bengals,Corner Post,4,2.76,4,0,6.76,1.69
90,Bengals,Curl,94,24.679999999999982,0,-3,21.679999999999982,0.23063829787234022
91,Bengals,Deep Cross,30,13.4,12,-1,24.4,0.8133333333333332
92,Bengals,Dig,48,15.760000000000002,0,-1,14.760000000000002,0.30750000000000005
93,Bengals,Drag,33,7.760000000000002,0,-1,6.760000000000002,0.2048484848484849
94,Bengals,Fade,19,9.36,16,0,25.360000000000003,1.3347368421052632
95,Bengals,Fade - Back Shoulder,5,2.44,0,0,2.44,0.488
96,Bengals,Flat - Left,20,6.040000000000001,4,0,10.040000000000001,0.502
97,Bengals,Flat - Right,13,3.3600000000000003,0,0,3.3600000000000003,0.25846153846153846
98,Bengals,Go/Fly,24,9.599999999999998,12,-2,19.6,0.8166666666666668
99,Bengals,Hitch & Go,5,3.6799999999999997,4,0,7.68,1.536
100,Bengals,Jet Sweep Pass,3,0.11999999999999998,0,0,0.11999999999999998,0.039999999999999994
